budget,baseline,candidate,samples,baseline_accuracy,candidate_accuracy,accuracy_delta_points,wrong_to_correct,correct_to_wrong,mcnemar_two_sided_p,baseline_mean_ttft_ms,candidate_mean_ttft_ms,mean_ttft_change_percent,baseline_p95_ttft_ms,candidate_p95_ttft_ms,p95_ttft_change_percent,mean_paired_delta_ms,paired_bootstrap_mean_delta_95ci_ms,candidate_faster_requests
0.05,ContiguousKV,Ours,128,0.6328125,0.8359375,20.3125,29,3,2.5560148060321808e-06,297.6752142785699,527.9028339064098,77.3418842364177,379.9931733170524,659.6424168208614,73.59322828425654,230.22761962783989,"[211.17256740153607, 248.28092847301374]",1
0.05,IMPRESS,Ours,128,0.8203125,0.8359375,1.5625,5,3,0.7265625,2192.748011850199,527.9028339064098,-75.92505700365564,3181.6340558463708,659.6424168208614,-79.2671814155137,-1664.8451779437892,"[-1753.8336597779562, -1579.3338678066903]",128
0.1,ContiguousKV,Ours,128,0.71875,0.7890625,7.03125,15,6,0.0783538818359375,425.8221955387853,728.0689679573698,70.97957212778844,573.3057620469481,905.8356369147077,58.0021860726613,302.24677241858444,"[282.31155101448167, 322.5448283912556]",1
0.1,IMPRESS,Ours,128,0.8125,0.7890625,-2.34375,5,8,0.5810546875,3024.294826322148,728.0689679573698,-75.92599234636207,4229.041529702954,905.8356369147077,-78.58059253964495,-2296.225858364778,"[-2394.118927132331, -2201.8000616194513]",128
0.25,ContiguousKV,Ours,128,0.7421875,0.8359375,9.375,16,4,0.01181793212890625,1504.3199930551054,1272.2367846872658,-15.427781950601126,2319.2405438283454,2176.231441088021,-6.166203980905793,-232.0832083678397,"[-273.42624322782285, -192.60863284525843]",115
0.25,IMPRESS,Ours,128,0.8203125,0.8359375,1.5625,4,2,0.6875,4221.655832283432,1272.2367846872658,-69.86403356336295,6124.234847910702,2176.231441088021,-64.46525165783856,-2949.419047596166,"[-3074.9059300061163, -2826.028053445225]",128
0.5,ContiguousKV,Ours,128,0.828125,0.8359375,0.78125,6,5,1.0,3661.7144771480525,3129.576277693559,-14.532487521226734,5582.79985662084,5273.1510371901095,-5.546478960077838,-532.1381994544936,"[-649.7304418375279, -414.82376050680625]",95
0.5,IMPRESS,Ours,128,0.828125,0.8359375,0.78125,3,2,1.0,4852.056887964864,3129.576277693559,-35.500008553975924,7433.639034163207,5273.1510371901095,-29.063665683039186,-1722.4806102713046,"[-1824.6144326149988, -1621.832584740332]",128
