budget,baseline,candidate,samples,baseline_accuracy,candidate_accuracy,accuracy_delta_points,wrong_to_correct,correct_to_wrong,mcnemar_two_sided_p,baseline_mean_ttft_ms,candidate_mean_ttft_ms,mean_ttft_change_percent,baseline_p95_ttft_ms,candidate_p95_ttft_ms,p95_ttft_change_percent,mean_paired_delta_ms,paired_bootstrap_mean_delta_95ci_ms,candidate_faster_requests
0.05,ContiguousKV,Ours,410,0.6439024390243903,0.8341463414634146,19.024390243902435,91,13,1.4016007077149398e-15,295.2530958473955,587.4415421211047,98.96202626939758,409.25749349407835,800.5325239151715,95.60607603798333,292.1884462737092,"[281.2105696491625, 303.06305960993416]",1
0.05,IMPRESS,Ours,410,0.824390243902439,0.8341463414634146,0.9756097560975618,13,9,0.5234670639038086,2033.5616144147225,587.4415421211047,-71.11267551683326,3255.4031197912973,800.5325239151715,-75.40911234469502,-1446.1200722936178,"[-1497.5541176529964, -1397.401796484383]",410
0.1,ContiguousKV,Ours,410,0.7439024390243902,0.8268292682926829,8.292682926829265,48,14,1.7428522601631996e-05,440.5038826633245,682.2331741100131,54.87563242012137,601.2676540762186,898.1950440909714,49.38356287782499,241.7292914466887,"[228.96111315218505, 254.1370344667116]",7
0.1,IMPRESS,Ours,410,0.8097560975609757,0.8268292682926829,1.7073170731707221,22,15,0.3240086000878364,2831.6445472389005,682.2331741100131,-75.90682154032187,4150.282964087091,898.1950440909714,-78.35822155108065,-2149.411373128887,"[-2203.283319869278, -2097.7098585656995]",410
0.25,ContiguousKV,Ours,410,0.7731707317073171,0.8390243902439024,6.585365853658532,45,18,0.0008980471786680215,1368.104832839766,1287.1056355774494,-5.920540247941897,2352.757105161436,2471.0826197173446,5.029227806658332,-80.99919726231659,"[-101.39429086200302, -60.41922448861716]",282
0.25,IMPRESS,Ours,410,0.8365853658536585,0.8390243902439024,0.24390243902439046,14,13,1.0,9224.829859422838,1287.1056355774494,-86.0473780525858,34240.520952059815,2471.0826197173446,-92.7831628987856,-7937.724223845388,"[-8927.093565967702, -7000.811166860413]",410
0.5,ContiguousKV,Ours,410,0.8121951219512196,0.8609756097560975,4.8780487804877986,28,8,0.0011932429624721408,3611.0394569829377,3157.9818253757476,-12.546460292231886,5976.436152309179,5410.283448034895,-9.47308211525918,-453.05763160719016,"[-517.2702771802319, -388.34331980648045]",309
0.5,IMPRESS,Ours,410,0.8536585365853658,0.8609756097560975,0.7317073170731714,11,8,0.6476058959960938,16198.29096423303,3157.9818253757476,-80.50422830193139,43934.29451282131,5410.283448034895,-87.68551194908567,-13040.309138857283,"[-14370.02564157825, -11760.15715818006]",393
