get time: 0.00015216 s, token_id len: 39, device: cuda:0
get time: 0.00018658 s, token_id len: 39, device: cuda:0
get time: 0.00018204 s, token_id len: 64, device: cuda:0
get time: 0.00015404 s, token_id len: 64, device: cuda:0
get time: 0.00014113 s, token_id len: 64, device: cuda:0
get time: 0.00015536 s, token_id len: 64, device: cuda:0
get time: 0.00013509 s, token_id len: 64, device: cuda:0
get time: 0.00013390 s, token_id len: 64, device: cuda:0
get time: 0.00013161 s, token_id len: 64, device: cuda:0
get time: 0.00013421 s, token_id len: 64, device: cuda:0
get time: 0.00013212 s, token_id len: 64, device: cuda:0
get time: 0.00016540 s, token_id len: 64, device: cuda:0
get time: 0.00013342 s, token_id len: 64, device: cuda:0
get time: 0.00014969 s, token_id len: 64, device: cuda:0
get time: 0.00015307 s, token_id len: 64, device: cuda:0
get time: 0.00015400 s, token_id len: 64, device: cuda:0
get time: 0.00013222 s, token_id len: 64, device: cuda:0
get time: 0.00013305 s, token_id len: 64, device: cuda:0
get time: 0.00013203 s, token_id len: 64, device: cuda:0
get time: 0.00017456 s, token_id len: 64, device: cuda:0
get time: 0.00015705 s, token_id len: 64, device: cuda:0
get time: 0.00014857 s, token_id len: 64, device: cuda:0
get time: 0.00013476 s, token_id len: 64, device: cuda:0
get time: 0.00013344 s, token_id len: 64, device: cuda:0
get time: 0.00013314 s, token_id len: 64, device: cuda:0
get time: 0.00013220 s, token_id len: 64, device: cuda:0
get time: 0.00013089 s, token_id len: 64, device: cuda:0
get time: 0.00017413 s, token_id len: 64, device: cuda:0
get time: 0.00016153 s, token_id len: 64, device: cuda:0
get time: 0.00018537 s, token_id len: 64, device: cuda:0
get time: 0.00017695 s, token_id len: 64, device: cuda:0
get time: 0.00016003 s, token_id len: 64, device: cuda:0
get time: 0.00013110 s, token_id len: 64, device: cuda:0
get time: 0.00016071 s, token_id len: 64, device: cuda:0
get time: 0.00014959 s, token_id len: 64, device: cuda:0
get time: 0.00014902 s, token_id len: 64, device: cuda:0
get time: 0.00013172 s, token_id len: 64, device: cuda:0
get time: 0.00013509 s, token_id len: 64, device: cuda:0
get time: 0.00017493 s, token_id len: 64, device: cuda:0
get time: 0.00013551 s, token_id len: 64, device: cuda:0
get time: 0.00013177 s, token_id len: 64, device: cuda:0
get time: 0.00013416 s, token_id len: 64, device: cuda:0
get time: 0.00013167 s, token_id len: 64, device: cuda:0
get time: 0.00016434 s, token_id len: 64, device: cuda:0
get time: 0.00012857 s, token_id len: 64, device: cuda:0
get time: 0.00014840 s, token_id len: 64, device: cuda:0
get time: 0.00014609 s, token_id len: 64, device: cuda:0
get time: 0.00014726 s, token_id len: 64, device: cuda:0
get time: 0.00014315 s, token_id len: 64, device: cuda:0
get time: 0.00017434 s, token_id len: 64, device: cuda:0
get time: 0.00013304 s, token_id len: 64, device: cuda:0
get time: 0.00017521 s, token_id len: 64, device: cuda:0
get time: 0.00017464 s, token_id len: 64, device: cuda:0
get time: 0.00015163 s, token_id len: 64, device: cuda:0
get time: 0.00013077 s, token_id len: 64, device: cuda:0
get time: 0.00014987 s, token_id len: 64, device: cuda:0
get time: 0.00015122 s, token_id len: 64, device: cuda:0
get time: 0.00013428 s, token_id len: 64, device: cuda:0
get time: 0.00013225 s, token_id len: 64, device: cuda:0
get time: 0.00016549 s, token_id len: 64, device: cuda:0
get time: 0.00013285 s, token_id len: 64, device: cuda:0
get time: 0.00015937 s, token_id len: 64, device: cuda:0
get time: 0.00012887 s, token_id len: 64, device: cuda:0
get time: 0.00015802 s, token_id len: 64, device: cuda:0
get time: 0.00016105 s, token_id len: 64, device: cuda:0
get time: 0.00013021 s, token_id len: 64, device: cuda:0
get time: 0.00012723 s, token_id len: 64, device: cuda:0
get time: 0.00017377 s, token_id len: 64, device: cuda:0
get time: 0.00013069 s, token_id len: 64, device: cuda:0
get time: 0.00013202 s, token_id len: 64, device: cuda:0
get time: 0.00015559 s, token_id len: 64, device: cuda:0
get time: 0.00018213 s, token_id len: 64, device: cuda:0
get time: 0.00013095 s, token_id len: 64, device: cuda:0
get time: 0.00013532 s, token_id len: 64, device: cuda:0
get time: 0.00013482 s, token_id len: 64, device: cuda:0
get time: 0.00017996 s, token_id len: 64, device: cuda:0
get time: 0.00017329 s, token_id len: 64, device: cuda:0
get time: 0.00015168 s, token_id len: 64, device: cuda:0
get time: 0.00013098 s, token_id len: 64, device: cuda:0
get time: 0.00015049 s, token_id len: 64, device: cuda:0
get time: 0.00012950 s, token_id len: 64, device: cuda:0
get time: 0.00014933 s, token_id len: 64, device: cuda:0
get time: 0.00013122 s, token_id len: 64, device: cuda:0
get time: 0.00016294 s, token_id len: 64, device: cuda:0
get time: 0.00016118 s, token_id len: 64, device: cuda:0
get time: 0.00013252 s, token_id len: 64, device: cuda:0
get time: 0.00014856 s, token_id len: 64, device: cuda:0
get time: 0.00012854 s, token_id len: 64, device: cuda:0
get time: 0.00013216 s, token_id len: 64, device: cuda:0
get time: 0.00013176 s, token_id len: 64, device: cuda:0
get time: 0.00015128 s, token_id len: 64, device: cuda:0
get time: 0.00015336 s, token_id len: 64, device: cuda:0
get time: 0.00018903 s, token_id len: 39, device: cuda:0
get time: 0.00016330 s, token_id len: 39, device: cuda:0
get time: 0.00015708 s, token_id len: 64, device: cuda:0
get time: 0.00017666 s, token_id len: 64, device: cuda:0
get time: 0.00013325 s, token_id len: 64, device: cuda:0
get time: 0.00014345 s, token_id len: 64, device: cuda:0
get time: 0.00014968 s, token_id len: 64, device: cuda:0
get time: 0.00015068 s, token_id len: 64, device: cuda:0
get time: 0.00013337 s, token_id len: 64, device: cuda:0
get time: 0.00013194 s, token_id len: 64, device: cuda:0
get time: 0.00015216 s, token_id len: 64, device: cuda:0
get time: 0.00013231 s, token_id len: 64, device: cuda:0
get time: 0.00015125 s, token_id len: 64, device: cuda:0
get time: 0.00013213 s, token_id len: 64, device: cuda:0
get time: 0.00015104 s, token_id len: 64, device: cuda:0
get time: 0.00013401 s, token_id len: 64, device: cuda:0
get time: 0.00014820 s, token_id len: 64, device: cuda:0
get time: 0.00013269 s, token_id len: 64, device: cuda:0
get time: 0.00013295 s, token_id len: 64, device: cuda:0
get time: 0.00015070 s, token_id len: 64, device: cuda:0
get time: 0.00013170 s, token_id len: 64, device: cuda:0
get time: 0.00013037 s, token_id len: 64, device: cuda:0
get time: 0.00013106 s, token_id len: 64, device: cuda:0
get time: 0.00015705 s, token_id len: 64, device: cuda:0
get time: 0.00013323 s, token_id len: 64, device: cuda:0
get time: 0.00013015 s, token_id len: 64, device: cuda:0
get time: 0.00013343 s, token_id len: 64, device: cuda:0
get time: 0.00014978 s, token_id len: 64, device: cuda:0
get time: 0.00013161 s, token_id len: 64, device: cuda:0
get time: 0.00013050 s, token_id len: 64, device: cuda:0
get time: 0.00013212 s, token_id len: 64, device: cuda:0
get time: 0.00015131 s, token_id len: 64, device: cuda:0
get time: 0.00013057 s, token_id len: 64, device: cuda:0
get time: 0.00013057 s, token_id len: 64, device: cuda:0
get time: 0.00013307 s, token_id len: 64, device: cuda:0
get time: 0.00015134 s, token_id len: 64, device: cuda:0
get time: 0.00013109 s, token_id len: 64, device: cuda:0
get time: 0.00013010 s, token_id len: 64, device: cuda:0
get time: 0.00015037 s, token_id len: 64, device: cuda:0
get time: 0.00014946 s, token_id len: 64, device: cuda:0
get time: 0.00016224 s, token_id len: 64, device: cuda:0
get time: 0.00015608 s, token_id len: 64, device: cuda:0
get time: 0.00013170 s, token_id len: 64, device: cuda:0
get time: 0.00012965 s, token_id len: 64, device: cuda:0
get time: 0.00012897 s, token_id len: 64, device: cuda:0
get time: 0.00015467 s, token_id len: 64, device: cuda:0
get time: 0.00015050 s, token_id len: 64, device: cuda:0
get time: 0.00013500 s, token_id len: 64, device: cuda:0
get time: 0.00012835 s, token_id len: 64, device: cuda:0
get time: 0.00012999 s, token_id len: 64, device: cuda:0
get time: 0.00013199 s, token_id len: 64, device: cuda:0
get time: 0.00016304 s, token_id len: 64, device: cuda:0
get time: 0.00014811 s, token_id len: 64, device: cuda:0
get time: 0.00012982 s, token_id len: 64, device: cuda:0
get time: 0.00014897 s, token_id len: 64, device: cuda:0
get time: 0.00013052 s, token_id len: 64, device: cuda:0
get time: 0.00014690 s, token_id len: 64, device: cuda:0
get time: 0.00015201 s, token_id len: 64, device: cuda:0
get time: 0.00014189 s, token_id len: 64, device: cuda:0
get time: 0.00015030 s, token_id len: 64, device: cuda:0
get time: 0.00012657 s, token_id len: 64, device: cuda:0
get time: 0.00013050 s, token_id len: 64, device: cuda:0
get time: 0.00014891 s, token_id len: 64, device: cuda:0
get time: 0.00013200 s, token_id len: 64, device: cuda:0
get time: 0.00012876 s, token_id len: 64, device: cuda:0
get time: 0.00012741 s, token_id len: 64, device: cuda:0
get time: 0.00013145 s, token_id len: 64, device: cuda:0
get time: 0.00014917 s, token_id len: 64, device: cuda:0
get time: 0.00012850 s, token_id len: 64, device: cuda:0
get time: 0.00014823 s, token_id len: 64, device: cuda:0
get time: 0.00013169 s, token_id len: 64, device: cuda:0
get time: 0.00015013 s, token_id len: 64, device: cuda:0
get time: 0.00012971 s, token_id len: 64, device: cuda:0
get time: 0.00012841 s, token_id len: 64, device: cuda:0
get time: 0.00013598 s, token_id len: 64, device: cuda:0
get time: 0.00014853 s, token_id len: 64, device: cuda:0
get time: 0.00013644 s, token_id len: 64, device: cuda:0
get time: 0.00013512 s, token_id len: 64, device: cuda:0
get time: 0.00013092 s, token_id len: 64, device: cuda:0
get time: 0.00013188 s, token_id len: 64, device: cuda:0
get time: 0.00015229 s, token_id len: 64, device: cuda:0
get time: 0.00013137 s, token_id len: 64, device: cuda:0
get time: 0.00013519 s, token_id len: 64, device: cuda:0
get time: 0.00012951 s, token_id len: 64, device: cuda:0
get time: 0.00013015 s, token_id len: 64, device: cuda:0
get time: 0.00013054 s, token_id len: 64, device: cuda:0
get time: 0.00014936 s, token_id len: 64, device: cuda:0
get time: 0.00013149 s, token_id len: 64, device: cuda:0
get time: 0.00012931 s, token_id len: 64, device: cuda:0
get time: 0.00014896 s, token_id len: 64, device: cuda:0
get time: 0.00012952 s, token_id len: 64, device: cuda:0
get time: 0.00016188 s, token_id len: 64, device: cuda:0
get time: 0.00019157 s, token_id len: 39, device: cuda:0
get time: 0.00017166 s, token_id len: 39, device: cuda:0
get time: 0.00015278 s, token_id len: 64, device: cuda:0
get time: 0.00013490 s, token_id len: 64, device: cuda:0
get time: 0.00013239 s, token_id len: 64, device: cuda:0
get time: 0.00016145 s, token_id len: 64, device: cuda:0
get time: 0.00013125 s, token_id len: 64, device: cuda:0
get time: 0.00015018 s, token_id len: 64, device: cuda:0
get time: 0.00016523 s, token_id len: 64, device: cuda:0
get time: 0.00013332 s, token_id len: 64, device: cuda:0
get time: 0.00015611 s, token_id len: 64, device: cuda:0
get time: 0.00015187 s, token_id len: 64, device: cuda:0
get time: 0.00014917 s, token_id len: 64, device: cuda:0
get time: 0.00014846 s, token_id len: 64, device: cuda:0
get time: 0.00014583 s, token_id len: 64, device: cuda:0
get time: 0.00013123 s, token_id len: 64, device: cuda:0
get time: 0.00012984 s, token_id len: 64, device: cuda:0
get time: 0.00014957 s, token_id len: 64, device: cuda:0
get time: 0.00013027 s, token_id len: 64, device: cuda:0
get time: 0.00013021 s, token_id len: 64, device: cuda:0
get time: 0.00015019 s, token_id len: 64, device: cuda:0
get time: 0.00013197 s, token_id len: 64, device: cuda:0
get time: 0.00014643 s, token_id len: 64, device: cuda:0
get time: 0.00014962 s, token_id len: 64, device: cuda:0
get time: 0.00012992 s, token_id len: 64, device: cuda:0
get time: 0.00012984 s, token_id len: 64, device: cuda:0
get time: 0.00013025 s, token_id len: 64, device: cuda:0
get time: 0.00014939 s, token_id len: 64, device: cuda:0
get time: 0.00013152 s, token_id len: 64, device: cuda:0
get time: 0.00013025 s, token_id len: 64, device: cuda:0
get time: 0.00012959 s, token_id len: 64, device: cuda:0
get time: 0.00013031 s, token_id len: 64, device: cuda:0
get time: 0.00013094 s, token_id len: 64, device: cuda:0
get time: 0.00012997 s, token_id len: 64, device: cuda:0
get time: 0.00013114 s, token_id len: 64, device: cuda:0
get time: 0.00012958 s, token_id len: 64, device: cuda:0
get time: 0.00013058 s, token_id len: 64, device: cuda:0
get time: 0.00013222 s, token_id len: 64, device: cuda:0
get time: 0.00014730 s, token_id len: 64, device: cuda:0
get time: 0.00016145 s, token_id len: 64, device: cuda:0
get time: 0.00013064 s, token_id len: 64, device: cuda:0
get time: 0.00014655 s, token_id len: 64, device: cuda:0
get time: 0.00012922 s, token_id len: 64, device: cuda:0
get time: 0.00013045 s, token_id len: 64, device: cuda:0
get time: 0.00012944 s, token_id len: 64, device: cuda:0
get time: 0.00016256 s, token_id len: 64, device: cuda:0
get time: 0.00014548 s, token_id len: 64, device: cuda:0
get time: 0.00018714 s, token_id len: 64, device: cuda:0
get time: 0.00016079 s, token_id len: 64, device: cuda:0
get time: 0.00016152 s, token_id len: 64, device: cuda:0
get time: 0.00014652 s, token_id len: 64, device: cuda:0
get time: 0.00014691 s, token_id len: 64, device: cuda:0
get time: 0.00014882 s, token_id len: 64, device: cuda:0
get time: 0.00015059 s, token_id len: 64, device: cuda:0
get time: 0.00013009 s, token_id len: 64, device: cuda:0
get time: 0.00014948 s, token_id len: 64, device: cuda:0
get time: 0.00013099 s, token_id len: 64, device: cuda:0
get time: 0.00016192 s, token_id len: 64, device: cuda:0
get time: 0.00013009 s, token_id len: 64, device: cuda:0
get time: 0.00014792 s, token_id len: 64, device: cuda:0
get time: 0.00012629 s, token_id len: 64, device: cuda:0
get time: 0.00013176 s, token_id len: 64, device: cuda:0
get time: 0.00016415 s, token_id len: 64, device: cuda:0
get time: 0.00014704 s, token_id len: 64, device: cuda:0
get time: 0.00012978 s, token_id len: 64, device: cuda:0
get time: 0.00013167 s, token_id len: 64, device: cuda:0
get time: 0.00016646 s, token_id len: 64, device: cuda:0
get time: 0.00013201 s, token_id len: 64, device: cuda:0
get time: 0.00012849 s, token_id len: 64, device: cuda:0
get time: 0.00015124 s, token_id len: 64, device: cuda:0
get time: 0.00014868 s, token_id len: 64, device: cuda:0
get time: 0.00012736 s, token_id len: 64, device: cuda:0
get time: 0.00015048 s, token_id len: 64, device: cuda:0
get time: 0.00013079 s, token_id len: 64, device: cuda:0
get time: 0.00012933 s, token_id len: 64, device: cuda:0
get time: 0.00016446 s, token_id len: 64, device: cuda:0
get time: 0.00013019 s, token_id len: 64, device: cuda:0
get time: 0.00015842 s, token_id len: 64, device: cuda:0
get time: 0.00012981 s, token_id len: 64, device: cuda:0
get time: 0.00013037 s, token_id len: 64, device: cuda:0
get time: 0.00013054 s, token_id len: 64, device: cuda:0
get time: 0.00015608 s, token_id len: 64, device: cuda:0
get time: 0.00013144 s, token_id len: 64, device: cuda:0
get time: 0.00016246 s, token_id len: 64, device: cuda:0
