get key time: 0.01094642 s, token_id len: 15, device: disk
get key time: 0.00153637 s, token_id len: 8, device: disk
get key time: 0.00162571 s, token_id len: 7, device: disk
get key time: 0.00177401 s, token_id len: 10, device: disk
get key time: 0.00559586 s, token_id len: 11, device: disk
get key time: 0.00603284 s, token_id len: 12, device: disk
get key time: 0.00144500 s, token_id len: 9, device: disk
get key time: 0.00742928 s, token_id len: 14, device: disk
get key time: 0.00142331 s, token_id len: 4, device: disk
get key time: 0.00147052 s, token_id len: 10, device: disk
get key time: 0.00134939 s, token_id len: 10, device: disk
get key time: 0.01260984 s, token_id len: 10, device: disk
get key time: 0.00148167 s, token_id len: 10, device: disk
get key time: 0.01768950 s, token_id len: 10, device: disk
get key time: 0.00147326 s, token_id len: 10, device: disk
get key time: 0.00130668 s, token_id len: 10, device: disk
get key time: 0.00139991 s, token_id len: 10, device: disk
get key time: 0.00144500 s, token_id len: 10, device: disk
get key time: 0.00188802 s, token_id len: 10, device: disk
get key time: 0.00742604 s, token_id len: 10, device: disk
get key time: 0.01330144 s, token_id len: 10, device: disk
get key time: 0.00141100 s, token_id len: 10, device: disk
get key time: 0.00728171 s, token_id len: 10, device: disk
get key time: 0.00144601 s, token_id len: 10, device: disk
get key time: 0.00151007 s, token_id len: 10, device: disk
get key time: 0.00161642 s, token_id len: 10, device: disk
get key time: 0.01656163 s, token_id len: 10, device: disk
get key time: 0.00485194 s, token_id len: 10, device: disk
get key time: 0.00156724 s, token_id len: 10, device: disk
get key time: 0.00130417 s, token_id len: 10, device: disk
get key time: 0.01074620 s, token_id len: 10, device: disk
get key time: 0.00476343 s, token_id len: 10, device: disk
get key time: 0.00376330 s, token_id len: 10, device: disk
get key time: 0.00130280 s, token_id len: 10, device: disk
get key time: 0.00156433 s, token_id len: 10, device: disk
get key time: 0.00201470 s, token_id len: 10, device: disk
get key time: 0.00658716 s, token_id len: 10, device: disk
get key time: 0.00129530 s, token_id len: 10, device: disk
get key time: 0.00159060 s, token_id len: 10, device: disk
get key time: 0.01036803 s, token_id len: 10, device: disk
get key time: 0.00164633 s, token_id len: 10, device: disk
get key time: 0.00140421 s, token_id len: 10, device: disk
get key time: 0.00384924 s, token_id len: 10, device: disk
get key time: 0.00289465 s, token_id len: 10, device: disk
get key time: 0.00156912 s, token_id len: 10, device: disk
get key time: 0.00139618 s, token_id len: 10, device: disk
get key time: 0.01008223 s, token_id len: 10, device: disk
get key time: 0.00132544 s, token_id len: 10, device: disk
get key time: 0.00747773 s, token_id len: 10, device: disk
get key time: 0.00141441 s, token_id len: 10, device: disk
get key time: 0.00144629 s, token_id len: 10, device: disk
get key time: 0.00458498 s, token_id len: 10, device: disk
get key time: 0.00131510 s, token_id len: 10, device: disk
get key time: 0.00188678 s, token_id len: 10, device: disk
get key time: 0.00140610 s, token_id len: 10, device: disk
get key time: 0.00121774 s, token_id len: 10, device: disk
get key time: 0.01571073 s, token_id len: 10, device: disk
get key time: 0.00142777 s, token_id len: 10, device: disk
get key time: 0.00240070 s, token_id len: 10, device: disk
get key time: 0.00130162 s, token_id len: 10, device: disk
get key time: 0.00133945 s, token_id len: 10, device: disk
get key time: 0.00581182 s, token_id len: 10, device: disk
get key time: 0.00164879 s, token_id len: 10, device: disk
get key time: 0.00146872 s, token_id len: 10, device: disk
get key time: 0.00150570 s, token_id len: 10, device: disk
get key time: 0.00125444 s, token_id len: 10, device: disk
get key time: 0.00172979 s, token_id len: 10, device: disk
get key time: 0.00368174 s, token_id len: 10, device: disk
get key time: 0.01078805 s, token_id len: 10, device: disk
get key time: 0.00138865 s, token_id len: 10, device: disk
get key time: 0.00364767 s, token_id len: 10, device: disk
get key time: 0.00142045 s, token_id len: 10, device: disk
get key time: 0.00177823 s, token_id len: 10, device: disk
get key time: 0.00138478 s, token_id len: 10, device: disk
get key time: 0.01560057 s, token_id len: 10, device: disk
get key time: 0.01045437 s, token_id len: 10, device: disk
get key time: 0.00122855 s, token_id len: 10, device: disk
get key time: 0.00130541 s, token_id len: 10, device: disk
get key time: 0.00458331 s, token_id len: 10, device: disk
get key time: 0.00117760 s, token_id len: 10, device: disk
get key time: 0.01612221 s, token_id len: 10, device: disk
get key time: 0.00835499 s, token_id len: 49, device: disk
get key time: 0.00177740 s, token_id len: 56, device: disk
get key time: 0.00177365 s, token_id len: 57, device: disk
get key time: 0.00176614 s, token_id len: 54, device: disk
get key time: 0.00177449 s, token_id len: 53, device: disk
get key time: 0.00176496 s, token_id len: 52, device: disk
get key time: 0.00169807 s, token_id len: 55, device: disk
get key time: 0.00226128 s, token_id len: 50, device: disk
get key time: 0.00225712 s, token_id len: 60, device: disk
get key time: 0.00224285 s, token_id len: 54, device: disk
get key time: 0.00244954 s, token_id len: 54, device: disk
get key time: 0.00723481 s, token_id len: 54, device: disk
get key time: 0.00176420 s, token_id len: 54, device: disk
get key time: 0.00177314 s, token_id len: 54, device: disk
get key time: 0.00177827 s, token_id len: 54, device: disk
get key time: 0.00184756 s, token_id len: 54, device: disk
get key time: 0.00352301 s, token_id len: 54, device: disk
get key time: 0.00173987 s, token_id len: 54, device: disk
get key time: 0.00177128 s, token_id len: 54, device: disk
get key time: 0.00172963 s, token_id len: 54, device: disk
get key time: 0.00177500 s, token_id len: 20, device: disk
get key time: 0.01140739 s, token_id len: 16, device: disk
get key time: 0.00138122 s, token_id len: 8, device: disk
get key time: 0.00152729 s, token_id len: 6, device: disk
get key time: 0.00126928 s, token_id len: 11, device: disk
get key time: 0.00166629 s, token_id len: 10, device: disk
get key time: 0.00772297 s, token_id len: 16, device: disk
get key time: 0.00467380 s, token_id len: 9, device: disk
