get time: 0.00015609 s, token_id len: 39, device: cuda:0
get time: 0.00015135 s, token_id len: 39, device: cuda:0
get time: 0.00014189 s, token_id len: 64, device: cuda:0
get time: 0.00013810 s, token_id len: 64, device: cuda:0
get time: 0.00013389 s, token_id len: 64, device: cuda:0
get time: 0.00014455 s, token_id len: 64, device: cuda:0
get time: 0.00013565 s, token_id len: 64, device: cuda:0
get time: 0.00013616 s, token_id len: 64, device: cuda:0
get time: 0.00013308 s, token_id len: 64, device: cuda:0
get time: 0.00013337 s, token_id len: 64, device: cuda:0
get time: 0.00013221 s, token_id len: 64, device: cuda:0
get time: 0.00013926 s, token_id len: 64, device: cuda:0
get time: 0.00013214 s, token_id len: 64, device: cuda:0
get time: 0.00014055 s, token_id len: 64, device: cuda:0
get time: 0.00013517 s, token_id len: 64, device: cuda:0
get time: 0.00013801 s, token_id len: 64, device: cuda:0
get time: 0.00013089 s, token_id len: 64, device: cuda:0
get time: 0.00013250 s, token_id len: 64, device: cuda:0
get time: 0.00013102 s, token_id len: 64, device: cuda:0
get time: 0.00013978 s, token_id len: 64, device: cuda:0
get time: 0.00012703 s, token_id len: 64, device: cuda:0
get time: 0.00013026 s, token_id len: 64, device: cuda:0
get time: 0.00012610 s, token_id len: 64, device: cuda:0
get time: 0.00013060 s, token_id len: 64, device: cuda:0
get time: 0.00013464 s, token_id len: 64, device: cuda:0
get time: 0.00013389 s, token_id len: 64, device: cuda:0
get time: 0.00013125 s, token_id len: 64, device: cuda:0
get time: 0.00013796 s, token_id len: 64, device: cuda:0
get time: 0.00012890 s, token_id len: 64, device: cuda:0
get time: 0.00013582 s, token_id len: 64, device: cuda:0
get time: 0.00013704 s, token_id len: 64, device: cuda:0
get time: 0.00014082 s, token_id len: 64, device: cuda:0
get time: 0.00013108 s, token_id len: 64, device: cuda:0
get time: 0.00013048 s, token_id len: 64, device: cuda:0
get time: 0.00012991 s, token_id len: 64, device: cuda:0
get time: 0.00013460 s, token_id len: 64, device: cuda:0
get time: 0.00012938 s, token_id len: 64, device: cuda:0
get time: 0.00013146 s, token_id len: 64, device: cuda:0
get time: 0.00013318 s, token_id len: 64, device: cuda:0
get time: 0.00013102 s, token_id len: 64, device: cuda:0
get time: 0.00013095 s, token_id len: 64, device: cuda:0
get time: 0.00013419 s, token_id len: 64, device: cuda:0
get time: 0.00014186 s, token_id len: 64, device: cuda:0
get time: 0.00013876 s, token_id len: 64, device: cuda:0
get time: 0.00012985 s, token_id len: 64, device: cuda:0
get time: 0.00013118 s, token_id len: 64, device: cuda:0
get time: 0.00013156 s, token_id len: 64, device: cuda:0
get time: 0.00013402 s, token_id len: 64, device: cuda:0
get time: 0.00013343 s, token_id len: 64, device: cuda:0
get time: 0.00013094 s, token_id len: 64, device: cuda:0
get time: 0.00013236 s, token_id len: 64, device: cuda:0
get time: 0.00013553 s, token_id len: 64, device: cuda:0
get time: 0.00013274 s, token_id len: 64, device: cuda:0
get time: 0.00013206 s, token_id len: 64, device: cuda:0
get time: 0.00013167 s, token_id len: 64, device: cuda:0
get time: 0.00013106 s, token_id len: 64, device: cuda:0
get time: 0.00013226 s, token_id len: 64, device: cuda:0
get time: 0.00013619 s, token_id len: 64, device: cuda:0
get time: 0.00012641 s, token_id len: 64, device: cuda:0
get time: 0.00014162 s, token_id len: 64, device: cuda:0
get time: 0.00012972 s, token_id len: 64, device: cuda:0
get time: 0.00013394 s, token_id len: 64, device: cuda:0
get time: 0.00013696 s, token_id len: 64, device: cuda:0
get time: 0.00013300 s, token_id len: 64, device: cuda:0
get time: 0.00013007 s, token_id len: 64, device: cuda:0
get time: 0.00013120 s, token_id len: 64, device: cuda:0
get time: 0.00013701 s, token_id len: 64, device: cuda:0
get time: 0.00013881 s, token_id len: 64, device: cuda:0
get time: 0.00013353 s, token_id len: 64, device: cuda:0
get time: 0.00013456 s, token_id len: 64, device: cuda:0
